Annotation Cluster 1	Enrichment Score: 7.1424759428589315
Category	Term	Count	%	PValue	Genes	List Total	Pop Hits	Pop Total	Fold Enrichment	Bonferroni	Benjamini	FDR
REACTOME_PATHWAY	R-HSA-202433:R-HSA-202433	8	6.4	9.244292252787228E-9	HLA-DQB1, HLA-DQB2, HLA-DRB1, HLA-DRB5, HLA-DPA1, HLA-DQA2, HLA-DQA1, HLA-DRA	72	36	9075	28.009259259259256	2.135429232774655E-6	4.2708621139642133E-7	1.1859776705147596E-5
GOTERM_BP_DIRECT	GO:0019886~antigen processing and presentation of exogenous peptide antigen via MHC class II	10	8.0	9.53975994404416E-9	HLA-DQB1, HLA-DQB2, HLA-DRB1, LGMN, HLA-DRB5, HLA-DPA1, HLA-DQA2, HLA-DOB, HLA-DQA1, HLA-DRA	112	92	16792	16.29658385093168	8.318636143922475E-6	2.079665523457841E-6	1.4809309012431271E-5
KEGG_PATHWAY	hsa05330:Allograft rejection	8	6.4	1.3724073196649152E-8	HLA-DQB1, HLA-DRB1, HLA-DRB5, HLA-DPA1, HLA-DQA2, HLA-DOB, HLA-DQA1, HLA-DRA	57	37	6879	26.09388335704125	1.5096469240249988E-6	3.0192956712582486E-7	1.5505799055848257E-5
KEGG_PATHWAY	hsa04940:Type I diabetes mellitus	8	6.4	3.485374329393163E-8	HLA-DQB1, HLA-DRB1, HLA-DRB5, HLA-DPA1, HLA-DQA2, HLA-DOB, HLA-DQA1, HLA-DRA	57	42	6879	22.9874686716792	3.833904484329409E-6	6.389851014976244E-7	3.937862131930814E-5
UP_SEQ_FEATURE	region of interest:Connecting peptide	7	5.6000000000000005	4.975301971225515E-8	HLA-DQB1, HLA-DRB1, HLA-DPA1, HLA-DQA2, HLA-DOB, HLA-DQA1, HLA-DRA	122	34	20063	33.857521697203474	2.761254538929947E-5	1.380636800252244E-5	7.269714245028425E-5
KEGG_PATHWAY	hsa04672:Intestinal immune network for IgA production	8	6.4	7.87448762798763E-8	HLA-DQB1, HLA-DRB1, HLA-DRB5, HLA-DPA1, HLA-DQA2, HLA-DOB, HLA-DQA1, HLA-DRA	57	47	6879	20.541993281075026	8.661899218109781E-6	1.0827415054537326E-6	8.896788884493745E-5
KEGG_PATHWAY	hsa05140:Leishmaniasis	9	7.199999999999999	8.236319714347202E-8	HLA-DQB1, CR1, HLA-DRB1, HLA-DRB5, HLA-DPA1, HLA-DQA2, HLA-DOB, HLA-DQA1, HLA-DRA	57	71	6879	15.297998517420309	9.059911018516331E-6	1.006660833247075E-6	9.30559545975207E-5
KEGG_PATHWAY	hsa05320:Autoimmune thyroid disease	8	6.4	1.623419254269596E-7	HLA-DQB1, HLA-DRB1, HLA-DRB5, HLA-DPA1, HLA-DQA2, HLA-DOB, HLA-DQA1, HLA-DRA	57	52	6879	18.5668016194332	1.785745380367132E-5	1.6234180686414135E-6	1.834178024351374E-4
KEGG_PATHWAY	hsa05416:Viral myocarditis	8	6.4	3.1092500721996084E-7	HLA-DQB1, HLA-DRB1, HLA-DRB5, HLA-DPA1, HLA-DQA2, HLA-DOB, HLA-DQA1, HLA-DRA	57	57	6879	16.938134810710988	3.420117123409394E-5	2.8501422806304078E-6	3.5129026435543054E-4
REACTOME_PATHWAY	R-HSA-877300:R-HSA-877300	9	7.199999999999999	3.661322255254605E-7	HLA-DQB1, HLA-DQB2, TRIM35, HLA-DRB1, HLA-DRB5, HLA-DPA1, HLA-DQA2, HLA-DQA1, HLA-DRA	72	88	9075	12.890625	8.457298308595096E-5	1.409599391422045E-5	4.6972090141927936E-4
REACTOME_PATHWAY	R-HSA-2132295:R-HSA-2132295	10	8.0	3.9403165574530827E-7	HLA-DQB1, HLA-DQB2, HLA-DRB1, LGMN, HLA-DRB5, HLA-DPA1, HLA-DQA2, HLA-DOB, HLA-DQA1, HLA-DRA	72	122	9075	10.331284153005464	9.101718809489956E-5	1.3002962662267414E-5	5.055137490606043E-4
GOTERM_BP_DIRECT	GO:0060333~interferon-gamma-mediated signaling pathway	8	6.4	4.277180064042659E-7	HLA-DQB1, HLA-DQB2, HLA-DRB1, HLA-DRB5, HLA-DPA1, HLA-DQA2, HLA-DQA1, HLA-DRA	112	71	16792	16.893360160965795	3.729006366618437E-4	7.45912542128302E-5	6.639778050487877E-4
KEGG_PATHWAY	hsa05321:Inflammatory bowel disease (IBD)	8	6.4	6.992099192175317E-7	HLA-DQB1, HLA-DRB1, HLA-DRB5, HLA-DPA1, HLA-DQA2, HLA-DOB, HLA-DQA1, HLA-DRA	57	64	6879	15.085526315789473	7.69101602616784E-5	5.916376190406858E-6	7.899819589596291E-4
GOTERM_BP_DIRECT	GO:0031295~T cell costimulation	8	6.4	8.180367824567716E-7	HLA-DQB1, HLA-DQB2, HLA-DRB1, HLA-DRB5, HLA-DPA1, HLA-DQA2, HLA-DQA1, HLA-DRA	112	78	16792	15.377289377289376	7.130740078431508E-4	1.1888099410084507E-4	0.0012698944619971009
GOTERM_MF_DIRECT	GO:0042605~peptide antigen binding	6	4.8	8.934842543129574E-7	HLA-DQB1, HLA-DRB1, HLA-DRB5, HLA-DPA1, HLA-DQA1, HLA-DRA	110	28	16881	32.88506493506493	2.2781263340743152E-4	1.1391280476724663E-4	0.0011643309099085286
KEGG_PATHWAY	hsa05323:Rheumatoid arthritis	8	6.4	6.147250923422023E-6	HLA-DQB1, HLA-DRB1, HLA-DRB5, HLA-DPA1, HLA-DQA2, HLA-DOB, HLA-DQA1, HLA-DRA	57	88	6879	10.971291866028707	6.759711084804998E-4	4.829881071499731E-5	0.006945097553823221
KEGG_PATHWAY	hsa05152:Tuberculosis	10	8.0	1.0786048707260113E-5	HLA-DQB1, CR1, ITGAX, HLA-DRB1, HLA-DRB5, HLA-DPA1, HLA-DQA2, HLA-DOB, HLA-DQA1, HLA-DRA	57	177	6879	6.818316978887897	0.0011857681771577644	7.909498892544331E-5	0.012185670013786787
KEGG_PATHWAY	hsa05168:Herpes simplex infection	10	8.0	1.412166383577598E-5	HLA-DQB1, HLA-DRB1, TAP2, HLA-DRB5, HLA-DPA1, HLA-DQA2, HLA-DOB, HLA-DQA1, HLA-DRA, PILRA	57	183	6879	6.594765602530917	0.0015521880982561909	9.708241158590258E-5	0.015953847853711345
KEGG_PATHWAY	hsa04514:Cell adhesion molecules (CAMs)	9	7.199999999999999	1.6651865778259042E-5	HLA-DQB1, HLA-DRB1, HLA-DRB5, CNTNAP2, HLA-DPA1, HLA-DQA2, HLA-DOB, HLA-DQA1, HLA-DRA	57	142	6879	7.6489992587101545	0.0018300439102918453	1.077424592721421E-4	0.018812080159458233
KEGG_PATHWAY	hsa04145:Phagosome	9	7.199999999999999	2.4822129038006497E-5	HLA-DQB1, HLA-DRB1, TAP2, HLA-DRB5, HLA-DPA1, HLA-DQA2, HLA-DOB, HLA-DQA1, HLA-DRA	57	150	6879	7.241052631578947	0.002726743744858817	1.5168116648922592E-4	0.028041076210549853
KEGG_PATHWAY	hsa05145:Toxoplasmosis	8	6.4	2.684251795074528E-5	HLA-DQB1, HLA-DRB1, HLA-DRB5, HLA-DPA1, HLA-DQA2, HLA-DOB, HLA-DQA1, HLA-DRA	57	110	6879	8.777033492822966	0.002948361623653306	1.5539406214071239E-4	0.03032315480261394
UP_KEYWORDS	Lysosome	10	8.0	3.129154151225082E-5	HLA-DQB1, HLA-DQB2, HLA-DRB1, LGMN, HLA-DRB5, HLA-DPA1, HLA-DQA2, HLA-DOB, HLA-DQA1, HLA-DRA	125	263	20581	6.260380228136882	0.006643039429940045	0.0016649131480594992	0.03961766530772293
GOTERM_BP_DIRECT	GO:0006955~immune response	11	8.799999999999999	4.77147891686694E-4	HLA-DQB1, HLA-DQB2, HLA-DRB1, HLA-DRB5, MS4A2, CD79B, HLA-DPA1, HLA-DQA2, HLA-DOB, HLA-DQA1, HLA-DRA	112	421	16792	3.9173736002714623	0.34043335447526324	0.034086527190224314	0.7381526590039766
KEGG_PATHWAY	hsa05164:Influenza A	8	6.4	4.786651438679521E-4	HLA-DQB1, HLA-DRB1, HLA-DRB5, HLA-DPA1, HLA-DQA2, HLA-DOB, HLA-DQA1, HLA-DRA	57	174	6879	5.5486993345432545	0.051302958879227756	0.002504751740735389	0.5394768591976074
KEGG_PATHWAY	hsa05166:HTLV-I infection	8	6.4	0.004254825447256044	HLA-DQB1, HLA-DRB1, HLA-DRB5, HLA-DPA1, HLA-DQA2, HLA-DOB, HLA-DQA1, HLA-DRA	57	254	6879	3.801077496891836	0.3743907645155954	0.021093860477127135	4.703265283184843

Annotation Cluster 2	Enrichment Score: 4.070449846302663
Category	Term	Count	%	PValue	Genes	List Total	Pop Hits	Pop Total	Fold Enrichment	Bonferroni	Benjamini	FDR
UP_SEQ_FEATURE	region of interest:Beta-1	4	3.2	1.1721484918491637E-5	HLA-DQB1, HLA-DRB1, HLA-DRB5, HLA-DOB	122	8	20063	82.22540983606558	0.00648434754886118	0.0016250437483726898	0.017125609235224548
UP_SEQ_FEATURE	region of interest:Beta-2	4	3.2	1.1721484918491637E-5	HLA-DQB1, HLA-DRB1, HLA-DRB5, HLA-DOB	122	8	20063	82.22540983606558	0.00648434754886118	0.0016250437483726898	0.017125609235224548
GOTERM_BP_DIRECT	GO:0002381~immunoglobulin production involved in immunoglobulin mediated immune response	3	2.4	4.2745305025432994E-4	HLA-DQB1, HLA-DRB1, HLA-DRB5	112	5	16792	89.95714285714286	0.31120993303488065	0.0333246929048725	0.6615127251412778
GOTERM_BP_DIRECT	GO:0002455~humoral immune response mediated by circulating immunoglobulin	3	2.4	8.899117234445442E-4	HLA-DQB1, HLA-DRB1, HLA-DRB5	112	7	16792	64.25510204081633	0.5399170662204001	0.05044000768059176	1.3725870474325608

Annotation Cluster 3	Enrichment Score: 3.2911872701778746
Category	Term	Count	%	PValue	Genes	List Total	Pop Hits	Pop Total	Fold Enrichment	Bonferroni	Benjamini	FDR
UP_SEQ_FEATURE	transmembrane region	49	39.2	3.1514435836999964E-4	HLA-DQB1, ABCA7, MICB, HLA-DRB1, HSD3B7, APH1B, SORL1, FAM209B, GPRC5B, PRSS8, TAS2R60, SLC24A4, ITGAX, MTCH2, TAP2, PRRT1, HLA-DRB5, CNTNAP2, MS4A2, MS4A6A, HLA-DOB, AGPAT1, PILRA, CHRNA2, MS4A4A, CR1, STX4, ADAM10, MS4A4E, OR2A7, MS4A3, MADD, MS4A6E, BTNL2, AGER, HLA-DQA2, EPHA1, STX1B, HLA-DQA1, RNF5, NOTCH4, CD79B, HLA-DPA1, GPR17, SCARA3, TREM2, TREML1, C6ORF10, HLA-DRA	122	5056	20063	1.5937678330566507	0.1604864691684419	0.01924928512403168	0.4594902864237027
UP_KEYWORDS	Transmembrane helix	52	41.6	6.275296729669445E-4	MICB, SORL1, FAM209B, DMPK, TAS2R60, SLC24A4, PRRT1, CNTNAP2, MS4A2, AGPAT1, CHRNA2, PILRA, STX4, ADAM10, MS4A3, MS4A6E, BTNL2, STX1B, HLA-DQA2, HLA-DQA1, EML2, HLA-DPA1, GPR17, TREM2, HLA-DRA, HLA-DQB1, ABCA7, HLA-DQB2, HLA-DRB1, HSD3B7, APH1B, GPRC5B, TPM1, PRSS8, MTCH2, ITGAX, TAP2, HLA-DRB5, MS4A6A, HLA-DOB, MS4A4A, CR1, OR2A7, MS4A4E, AGER, EPHA1, RNF5, NOTCH4, CD79B, SCARA3, TREML1, C6ORF10	125	5634	20581	1.5196478523251686	0.12515257293948578	0.009504952281937928	0.7917476440513216
UP_KEYWORDS	Transmembrane	52	41.6	6.765414130259181E-4	MICB, SORL1, FAM209B, DMPK, TAS2R60, SLC24A4, PRRT1, CNTNAP2, MS4A2, AGPAT1, CHRNA2, PILRA, STX4, ADAM10, MS4A3, MS4A6E, BTNL2, STX1B, HLA-DQA2, HLA-DQA1, EML2, HLA-DPA1, GPR17, TREM2, HLA-DRA, HLA-DQB1, ABCA7, HLA-DQB2, HLA-DRB1, HSD3B7, APH1B, GPRC5B, TPM1, PRSS8, MTCH2, ITGAX, TAP2, HLA-DRB5, MS4A6A, HLA-DOB, MS4A4A, CR1, OR2A7, MS4A4E, AGER, EPHA1, RNF5, NOTCH4, CD79B, SCARA3, TREML1, C6ORF10	125	5651	20581	1.5150762696867812	0.13424393384513134	0.009564109440942214	0.853341515921402

Annotation Cluster 4	Enrichment Score: 2.8837738425499895
Category	Term	Count	%	PValue	Genes	List Total	Pop Hits	Pop Total	Fold Enrichment	Bonferroni	Benjamini	FDR
REACTOME_PATHWAY	R-HSA-5678895:R-HSA-5678895	6	4.8	1.0762406107052155E-4	PSMC6, PSMC5, PSMC3, RNF5, PSMB8, PSMB9	72	61	9075	12.397540983606556	0.024555969768731423	0.002758687368480839	0.13798624990105646
UP_KEYWORDS	Proteasome	5	4.0	2.9255417752037204E-4	PSMC6, PSMC5, PSMC3, PSMB8, PSMB9	125	53	20581	15.532830188679245	0.06042079359613428	0.005649721474701996	0.36983387088351805
GOTERM_BP_DIRECT	GO:0006521~regulation of cellular amino acid metabolic process	5	4.0	3.5574494092607893E-4	PSMC6, PSMC5, PSMC3, PSMB8, PSMB9	112	51	16792	14.698879551820728	0.26674721965623005	0.03055009629272798	0.5508261026375694
REACTOME_PATHWAY	R-HSA-5607764:R-HSA-5607764	6	4.8	3.876965962265099E-4	PSMC6, PSMC5, PSMC3, PLCG2, PSMB8, PSMB9	72	80	9075	9.453125	0.08568056639647104	0.008917528753883075	0.49624853178245054
KEGG_PATHWAY	hsa03050:Proteasome	5	4.0	4.198481685419309E-4	PSMC6, PSMC5, PSMC3, PSMB8, PSMB9	57	44	6879	13.714114832535884	0.04514233953238911	0.0023069846231886793	0.47333077953357616
REACTOME_PATHWAY	R-HSA-382556:R-HSA-382556	6	4.8	4.8599268522045804E-4	PSMC6, PSMC5, PSMC3, RNF5, PSMB8, PSMB9	72	84	9075	9.00297619047619	0.10621640685487055	0.010156399054864096	0.621705386748983
REACTOME_PATHWAY	R-HSA-1236978:R-HSA-1236978	5	4.0	6.038732382197587E-4	PSMC6, PSMC5, PSMC3, PSMB8, PSMB9	72	50	9075	12.604166666666666	0.13023903117097935	0.011560726393121445	0.771965864923696
REACTOME_PATHWAY	R-HSA-211733:R-HSA-211733	5	4.0	6.038732382197587E-4	PSMC6, PSMC5, PSMC3, PSMB8, PSMB9	72	50	9075	12.604166666666666	0.13023903117097935	0.011560726393121445	0.771965864923696
REACTOME_PATHWAY	R-HSA-350562:R-HSA-350562	5	4.0	6.514242397932138E-4	PSMC6, PSMC5, PSMC3, PSMB8, PSMB9	72	51	9075	12.35702614379085	0.13974638626919778	0.011512299957701866	0.8325190582239794
REACTOME_PATHWAY	R-HSA-69017:R-HSA-69017	5	4.0	6.514242397932138E-4	PSMC6, PSMC5, PSMC3, PSMB8, PSMB9	72	51	9075	12.35702614379085	0.13974638626919778	0.011512299957701866	0.8325190582239794
REACTOME_PATHWAY	R-HSA-69229:R-HSA-69229	5	4.0	6.514242397932138E-4	PSMC6, PSMC5, PSMC3, PSMB8, PSMB9	72	51	9075	12.35702614379085	0.13974638626919778	0.011512299957701866	0.8325190582239794
REACTOME_PATHWAY	R-HSA-69481:R-HSA-69481	5	4.0	6.514242397932138E-4	PSMC6, PSMC5, PSMC3, PSMB8, PSMB9	72	51	9075	12.35702614379085	0.13974638626919778	0.011512299957701866	0.8325190582239794
GOTERM_BP_DIRECT	GO:0002223~stimulatory C-type lectin receptor signaling pathway	6	4.8	6.585367641561972E-4	PSMC6, PSMC5, PSMC3, PLCG2, PSMB8, PSMB9	112	105	16792	8.56734693877551	0.43697611194691843	0.043225139706979054	1.0174233749040473
REACTOME_PATHWAY	R-HSA-180534:R-HSA-180534	5	4.0	7.015720640909741E-4	PSMC6, PSMC5, PSMC3, PSMB8, PSMB9	72	52	9075	12.119391025641026	0.14966086175121784	0.011513211475179141	0.8963422258991827
REACTOME_PATHWAY	R-HSA-349425:R-HSA-349425	5	4.0	7.015720640909741E-4	PSMC6, PSMC5, PSMC3, PSMB8, PSMB9	72	52	9075	12.119391025641026	0.14966086175121784	0.011513211475179141	0.8963422258991827
REACTOME_PATHWAY	R-HSA-69601:R-HSA-69601	5	4.0	7.543949940244149E-4	PSMC6, PSMC5, PSMC3, PSMB8, PSMB9	72	53	9075	11.890723270440251	0.15998120224118706	0.011554791928615415	0.9635290418921527
GOTERM_BP_DIRECT	GO:0002479~antigen processing and presentation of exogenous peptide antigen via MHC class I, TAP-dependent	5	4.0	7.979468391319788E-4	PSMC6, PSMC5, PSMC3, PSMB8, PSMB9	112	63	16792	11.899092970521542	0.5014679511339282	0.04850469697299198	1.2315627242995175
REACTOME_PATHWAY	R-HSA-180585:R-HSA-180585	5	4.0	8.09971484560353E-4	PSMC6, PSMC5, PSMC3, PSMB8, PSMB9	72	54	9075	11.670524691358025	0.1707049099096284	0.011630538012245117	1.0341728394803185
REACTOME_PATHWAY	R-HSA-174113:R-HSA-174113	5	4.0	8.683801267187104E-4	PSMC6, PSMC5, PSMC3, PSMB8, PSMB9	72	55	9075	11.458333333333334	0.18182821346097466	0.011735475568091736	1.1083665341169335
REACTOME_PATHWAY	R-HSA-4641257:R-HSA-4641257	5	4.0	8.683801267187104E-4	PSMC6, PSMC5, PSMC3, PSMB8, PSMB9	72	55	9075	11.458333333333334	0.18182821346097466	0.011735475568091736	1.1083665341169335
REACTOME_PATHWAY	R-HSA-450408:R-HSA-450408	5	4.0	9.296996123289927E-4	PSMC6, PSMC5, PSMC3, PSMB8, PSMB9	72	56	9075	11.253720238095237	0.19334604250475573	0.011865734937742789	1.1862025465620096
REACTOME_PATHWAY	R-HSA-5362768:R-HSA-5362768	5	4.0	9.296996123289927E-4	PSMC6, PSMC5, PSMC3, PSMB8, PSMB9	72	56	9075	11.253720238095237	0.19334604250475573	0.011865734937742789	1.1862025465620096
GOTERM_BP_DIRECT	GO:0038061~NIK/NF-kappaB signaling	5	4.0	9.509272918223755E-4	PSMC6, PSMC5, PSMC3, PSMB8, PSMB9	112	66	16792	11.358225108225108	0.5637776144778592	0.05052890752985262	1.4660479011989636
REACTOME_PATHWAY	R-HSA-4641258:R-HSA-4641258	5	4.0	9.94008699792346E-4	PSMC6, PSMC5, PSMC3, PSMB8, PSMB9	72	57	9075	11.056286549707604	0.20525200777210495	0.012018260257190772	1.267772726655303
GOTERM_BP_DIRECT	GO:0033209~tumor necrosis factor-mediated signaling pathway	6	4.8	0.0011150416134938141	PSMC6, PSMC5, PSMC3, PTK2B, PSMB8, PSMB9	112	118	16792	7.623486682808716	0.6219991281299565	0.052613094238918356	1.7170197090931039
REACTOME_PATHWAY	R-HSA-68827:R-HSA-68827	5	4.0	0.0011319108467116735	PSMC6, PSMC5, PSMC3, PSMB8, PSMB9	72	59	9075	10.681497175141242	0.23019612049113236	0.012995790808117857	1.4424796798680806
REACTOME_PATHWAY	R-HSA-5676590:R-HSA-5676590	5	4.0	0.0011319108467116735	PSMC6, PSMC5, PSMC3, PSMB8, PSMB9	72	59	9075	10.681497175141242	0.23019612049113236	0.012995790808117857	1.4424796798680806
GOTERM_BP_DIRECT	GO:0038095~Fc-epsilon receptor signaling pathway	7	5.6000000000000005	0.0011776323168610342	PSMC6, PSMC5, PSMC3, PLCG2, MS4A2, PSMB8, PSMB9	112	178	16792	5.896067415730338	0.6420995872733944	0.052642713147715514	1.8125788959085343
GOTERM_BP_DIRECT	GO:0090263~positive regulation of canonical Wnt signaling pathway	6	4.8	0.0012019660080551699	PSMC6, PSMC5, PSMC3, GPRC5B, PSMB8, PSMB9	112	120	16792	7.496428571428571	0.6496227203278185	0.05108612522945788	1.8497064322021028
REACTOME_PATHWAY	R-HSA-187577:R-HSA-187577	5	4.0	0.0012056614586708533	PSMC6, PSMC5, PSMC3, PSMB8, PSMB9	72	60	9075	10.503472222222223	0.2432148057671112	0.013182615448407486	1.5357966177961258
REACTOME_PATHWAY	R-HSA-5610780:R-HSA-5610780	5	4.0	0.0012056614586708533	PSMC6, PSMC5, PSMC3, PSMB8, PSMB9	72	60	9075	10.503472222222223	0.2432148057671112	0.013182615448407486	1.5357966177961258
REACTOME_PATHWAY	R-HSA-5610785:R-HSA-5610785	5	4.0	0.0012056614586708533	PSMC6, PSMC5, PSMC3, PSMB8, PSMB9	72	60	9075	10.503472222222223	0.2432148057671112	0.013182615448407486	1.5357966177961258
REACTOME_PATHWAY	R-HSA-5610783:R-HSA-5610783	5	4.0	0.0012056614586708533	PSMC6, PSMC5, PSMC3, PSMB8, PSMB9	72	60	9075	10.503472222222223	0.2432148057671112	0.013182615448407486	1.5357966177961258
REACTOME_PATHWAY	R-HSA-5358346:R-HSA-5358346	5	4.0	0.0012056614586708533	PSMC6, PSMC5, PSMC3, PSMB8, PSMB9	72	60	9075	10.503472222222223	0.2432148057671112	0.013182615448407486	1.5357966177961258
REACTOME_PATHWAY	R-HSA-5607761:R-HSA-5607761	5	4.0	0.0012056614586708533	PSMC6, PSMC5, PSMC3, PSMB8, PSMB9	72	60	9075	10.503472222222223	0.2432148057671112	0.013182615448407486	1.5357966177961258
GOTERM_BP_DIRECT	GO:0051436~negative regulation of ubiquitin-protein ligase activity involved in mitotic cell cycle	5	4.0	0.0012499906303010313	PSMC6, PSMC5, PSMC3, PSMB8, PSMB9	112	71	16792	10.558350100603622	0.6640099181095905	0.05061117154552841	1.922942264755012
REACTOME_PATHWAY	R-HSA-174084:R-HSA-174084	5	4.0	0.001447055458131695	PSMC6, PSMC5, PSMC3, PSMB8, PSMB9	72	63	9075	10.003306878306878	0.2843126703818524	0.014438742540726857	1.8406639717499673
REACTOME_PATHWAY	R-HSA-4608870:R-HSA-4608870	5	4.0	0.001534495761169221	PSMC6, PSMC5, PSMC3, PSMB8, PSMB9	72	64	9075	9.847005208333334	0.2986447642450615	0.014672164426226986	1.9508813610175424
GOTERM_BP_DIRECT	GO:0051437~positive regulation of ubiquitin-protein ligase activity involved in regulation of mitotic cell cycle transition	5	4.0	0.0016093661650952958	PSMC6, PSMC5, PSMC3, PSMB8, PSMB9	112	76	16792	9.863721804511279	0.7545096831153985	0.05923802525009669	2.4693565689332897
REACTOME_PATHWAY	R-HSA-5632684:R-HSA-5632684	5	4.0	0.0017203089694443655	PSMC6, PSMC5, PSMC3, PSMB8, PSMB9	72	66	9075	9.54861111111111	0.3281590059410038	0.015181033915189324	2.184717756523402
REACTOME_PATHWAY	R-HSA-1169091:R-HSA-1169091	5	4.0	0.0018188375362146335	PSMC6, PSMC5, PSMC3, PSMB8, PSMB9	72	67	9075	9.406094527363184	0.3433039682009794	0.015454666161074715	2.3085021811990347
REACTOME_PATHWAY	R-HSA-174154:R-HSA-174154	5	4.0	0.0018188375362146335	PSMC6, PSMC5, PSMC3, PSMB8, PSMB9	72	67	9075	9.406094527363184	0.3433039682009794	0.015454666161074715	2.3085021811990347
GOTERM_BP_DIRECT	GO:0031145~anaphase-promoting complex-dependent catabolic process	5	4.0	0.001856419882096461	PSMC6, PSMC5, PSMC3, PSMB8, PSMB9	112	79	16792	9.489150090415913	0.8021611728225532	0.06528406404221787	2.8433372057983464
REACTOME_PATHWAY	R-HSA-195253:R-HSA-195253	5	4.0	0.001921217438716121	PSMC6, PSMC5, PSMC3, PSMB8, PSMB9	72	68	9075	9.267769607843137	0.3586808772188801	0.015740098327128305	2.436972125603998
REACTOME_PATHWAY	R-HSA-5658442:R-HSA-5658442	5	4.0	0.001921217438716121	PSMC6, PSMC5, PSMC3, PSMB8, PSMB9	72	68	9075	9.267769607843137	0.3586808772188801	0.015740098327128305	2.436972125603998
REACTOME_PATHWAY	R-HSA-5668541:R-HSA-5668541	5	4.0	0.0020275258489678293	PSMC6, PSMC5, PSMC3, PSMB8, PSMB9	72	69	9075	9.133454106280194	0.3742685029397672	0.01603670734578222	2.5702068292508096
REACTOME_PATHWAY	R-HSA-68949:R-HSA-68949	5	4.0	0.0022522353160230823	PSMC6, PSMC5, PSMC3, PSMB8, PSMB9	72	71	9075	8.876173708920188	0.4059864332996086	0.017211923593517087	2.85127984886433
